miRNA_ID	Target_ID	Score	Total_Mispair	Seed_Mispair	Pred_Cleav
ath-miR172d-3p	AT4G23210.3	4.5	5	0	Yes
ath-miR172d-3p	AT4G23310.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23210.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23210.2	4.5	5	0	Yes
ath-miR172d-3p	AT3G45860.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23130.2	4.5	5	0	Yes
ath-miR172c	AT1G11340.1	5	6	0	Yes
ath-miR172c	AT3G45860.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23160.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G27300.1	4.5	5	0	Yes
ath-miR172c	AT4G11530.1	4.5	5	0	Yes
ath-miR172c	AT4G38830.1	3.5	4	0	Yes
ath-miR172d-3p	AT4G23290.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G38830.1	3.5	4	0	Yes
ath-miR172c	AT4G23130.1	4.5	5	0	Yes
ath-miR172c	AT4G23190.1	4.5	5	0	Yes
ath-miR172c	AT4G23320.1	4.5	5	0	Yes
ath-miR172c	AT4G23200.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23200.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23260.2	5	6	0	Yes
ath-miR172c	AT1G11410.1	5	6	0	Yes
ath-miR172b-3p	AT4G38830.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23190.1	4.5	5	0	Yes
ath-miR172c	AT4G23140.1	4.5	5	0	Yes
ath-miR172d-3p	AT4G23130.1	4.5	5	0	Yes
ath-miR172d-3p	AT1G11410.1	5	6	0	Yes
ath-miR172c	AT4G23290.1	4.5	5	0	Yes
ath-miR172e-3p	AT4G38830.1	5	6	0	Yes
ath-miR172a	AT4G23320.1	4	5	0	Yes
ath-miR172c	AT4G23250.1	4.5	5	0	Yes
ath-miR172a	AT4G38830.1	4.5	5	0	Yes
ath-miR172d-3p	AT1G11340.1	5	6	0	Yes
ath-miR172d-3p	AT4G23280.1	4.5	5	0	Yes
ath-miR396b-5p	AT5G58080.1	5	5	1	Yes
ath-miR395c	AT3G22890.1	4	4	1	Yes
ath-miR395f	AT5G43780.1	2	3	0	Yes
ath-miR395b	AT4G14680.1	4	4	1	Yes
ath-miR395b	AT5G43780.1	2	3	0	Yes
ath-miR395f	AT4G14680.1	4	4	1	Yes
ath-miR395b	AT3G22890.1	4	4	1	Yes
ath-miR395c	AT4G14680.1	4	4	1	Yes
ath-miR395f	AT3G22890.1	4	4	1	Yes
ath-miR395c	AT5G43780.1	2	3	0	Yes
ath-miR172a	AT5G46110.3	4.5	4	0	No
ath-miR172b-3p	AT5G46110.4	4.5	4	0	No
ath-miR172b-3p	AT5G46110.1	4.5	4	0	No
ath-miR172b-3p	AT5G46110.2	4.5	4	0	No
ath-miR172a	AT5G46110.2	4.5	4	0	No
ath-miR172b-3p	AT5G46110.3	4.5	4	0	No
ath-miR172a	AT5G46110.1	4.5	4	0	No
ath-miR172a	AT5G46110.4	4.5	4	0	No
ath-miR399e	AT1G18140.1	4	3	0	Yes
ath-miR399d	AT1G18140.1	5	4	0	Yes
ath-miR833a-3p	AT3G47990.1	5	4	1	Yes
ath-miR171a-3p	AT5G14720.1	5	5	1	Yes
ath-miR157d	AT2G01890.2	5	6	0	No
ath-miR157d	AT2G01890.1	5	6	0	No
ath-miR172d-3p	AT4G01190.1	5	6	0	Yes
ath-miR172c	AT4G01190.1	5	6	0	Yes
ath-miR172b-5p	AT5G04140.2	5	4	0	No
ath-miR172e-5p	AT5G04140.1	5	4	0	No
ath-miR172b-5p	AT5G04140.1	5	4	0	No
ath-miR172e-5p	AT5G04140.2	5	4	0	No
ath-miR173-5p	AT4G25090.1	5	5	1	Yes
ath-miR396a-3p	AT1G09730.1	5	5	2	Yes
ath-miR396a-3p	AT1G09730.2	5	5	2	Yes
ath-miR156f-5p	AT1G69170.1	1	1	0	Yes
ath-miR156b-5p	AT1G69170.1	1	1	0	Yes
ath-miR156a-5p	AT1G69170.1	1	1	0	Yes
ath-miR156c-5p	AT1G69170.1	1	1	0	Yes
ath-miR156g	AT1G69170.1	2	2	0	Yes
ath-miR156d-5p	AT1G69170.1	1	1	0	Yes
ath-miR156e	AT1G69170.1	1	1	0	Yes
ath-miR156i	AT1G69170.1	1	1	0	Yes
ath-miR396b-5p	AT3G07060.1	5	6	0	Yes
ath-miR4245	AT4G09970.1	5	5	0	Yes
ath-miR4245	AT4G09970.2	5	5	0	Yes
ath-miR838	AT1G13030.1	4	3	1	No
ath-miR156i	AT1G31130.1	5	4	1	Yes
ath-miR835-5p	AT2G43040.1	5	4	1	Yes
ath-miR835-5p	AT1G49560.1	2.5	3	0	Yes
ath-miR159b-5p	AT2G23170.1	5	5	0	No
ath-miR172e-5p	AT4G22220.1	5	4	0	Yes
ath-miR172b-5p	AT4G22220.1	5	4	0	Yes
ath-miR159b-5p	AT5G45050.2	5	5	1	Yes
ath-miR159b-5p	AT5G45050.1	5	5	1	Yes
ath-miR171a-3p	AT4G00150.1	0	0	0	Yes
ath-miR170-3p	AT4G00150.1	1.5	2	0	Yes
ath-miR396a-5p	AT1G79740.1	4.5	5	0	No
ath-miR396b-5p	AT1G79740.1	4	5	0	No
ath-miR156h	AT3G61290.1	5	5	0	Yes
ath-miR5021	AT1G76990.4	2	2	0	Yes
ath-miR5021	AT1G76990.1	2	2	0	Yes
ath-miR156i	AT1G76680.1	5	4	0	No
ath-miR156i	AT1G76690.1	5	4	0	No
ath-miR156i	AT1G76680.2	5	4	0	No
ath-miR852	AT2G40920.1	5	4	1	Yes
ath-miR852	AT2G40920.2	5	4	1	Yes
ath-miR859	AT3G13680.1	5	5	1	Yes
ath-miR824-3p	AT5G01540.1	5	5	1	Yes
ath-miR164b-5p	AT5G53950.1	2.5	3	0	Yes
ath-miR164a	AT5G53950.1	2.5	3	0	Yes
ath-miR164c-5p	AT5G53950.1	2.5	3	0	Yes
ath-miR846-3p	AT1G57570.1	3	2	0	Yes
ath-miR846-3p	AT5G38550.1	4	3	0	No
ath-miR859	AT3G24580.1	2.5	2	0	Yes
ath-miR824-3p	AT1G48900.1	5	6	0	Yes
ath-miR824-3p	AT1G48900.2	5	6	0	Yes
ath-miR859	AT3G04250.1	4.5	3	1	Yes
ath-miR859	AT3G22940.1	5	4	1	Yes
ath-miR859	AT3G23260.1	5	4	1	Yes
ath-miR861-3p	AT1G20640.2	4.5	6	0	No
ath-miR861-3p	AT1G20640.1	4.5	6	0	No
ath-miR156h	AT3G63088.1	5	3	1	Yes
ath-miR158a-3p	AT5G63920.1	5	4	1	No
ath-miR156g	AT4G19890.1	5	6	0	No
ath-miR172e-3p	AT4G36920.2	2.5	3	1	Yes
ath-miR172d-3p	AT4G36920.1	1	1	1	Yes
ath-miR172c	AT4G36920.2	1	1	1	Yes
ath-miR172b-3p	AT4G36920.1	2	2	1	Yes
ath-miR172d-3p	AT4G36920.2	1	1	1	Yes
ath-miR172a	AT4G36920.2	2	2	1	Yes
ath-miR172b-3p	AT4G36920.2	2	2	1	Yes
ath-miR172a	AT4G36920.1	2	2	1	Yes
ath-miR172e-3p	AT4G36920.1	2.5	3	1	Yes
ath-miR172c	AT4G36920.1	1	1	1	Yes
ath-miR393b-3p	AT3G19420.1	4.5	6	1	Yes
ath-miR164c-5p	AT5G03470.1	5	5	0	No
ath-miR396a-3p	AT5G14130.1	3	4	0	Yes
ath-miR858a	AT1G34670.1	5	4	2	Yes
ath-miR858b	AT1G34670.1	4.5	4	2	Yes
ath-miR399f	AT1G67230.1	4.5	4	2	Yes
ath-miR396a-5p	AT1G04950.2	5	5	1	Yes
ath-miR396a-5p	AT1G04950.1	5	5	1	Yes
ath-miR396a-5p	AT1G04950.3	5	5	1	Yes
ath-miR824-3p	AT3G59920.1	4.5	4	0	Yes
ath-miR172e-3p	AT5G63050.1	4	4	0	Yes
ath-miR172b-3p	AT5G63050.2	5	5	0	Yes
ath-miR172e-3p	AT5G63050.2	4	4	0	Yes
ath-miR172a	AT5G63050.1	5	5	0	Yes
ath-miR172b-3p	AT5G63050.1	5	5	0	Yes
ath-miR172a	AT5G63050.2	5	5	0	Yes
ath-miR169d	AT2G46020.2	4	3	1	Yes
ath-miR169g-5p	AT2G46020.2	4	3	1	Yes
ath-miR169e	AT2G46020.2	4	3	1	Yes
ath-miR169f-5p	AT2G46020.2	4	3	1	Yes
ath-miR169d	AT2G46020.1	4	3	1	Yes
ath-miR169f-5p	AT2G46020.1	4	3	1	Yes
ath-miR169g-5p	AT2G46020.1	4	3	1	Yes
ath-miR169e	AT2G46020.1	4	3	1	Yes
ath-miR834	AT3G48050.1	5	6	1	No
ath-miR834	AT3G48050.2	5	6	1	No
ath-miR472-3p	AT3G54810.2	5	5	1	Yes
ath-miR472-3p	AT3G54810.1	5	5	1	Yes
ath-miR781b	AT3G09660.1	4.5	6	0	Yes
ath-miR781a	AT3G09660.1	4.5	6	0	Yes
ath-miR390b-5p	AT5G05520.1	4.5	6	0	Yes
ath-miR390a-5p	AT3G11070.1	4.5	6	0	Yes
ath-miR390b-5p	AT3G11070.1	4.5	6	0	Yes
ath-miR390a-5p	AT5G05520.1	4.5	6	0	Yes
ath-miR838	AT2G19170.1	5	5	0	Yes
ath-miR158a-5p	AT5G63490.1	4.5	4	0	No
ath-miR862-5p	AT1G45100.1	5	5	1	Yes
ath-miR397a	AT5G60020.1	2.5	3	1	Yes
ath-miR397b	AT2G38080.1	3.5	4	1	Yes
ath-miR397a	AT2G29130.1	1.5	2	0	Yes
ath-miR397a	AT2G38080.1	2.5	3	1	Yes
ath-miR397b	AT5G60020.1	3.5	4	1	Yes
ath-miR397b	AT2G29130.1	2.5	3	0	Yes
ath-miR156c-3p	AT4G05330.1	4.5	4	1	Yes
ath-miR156a-3p	AT4G05330.1	4.5	4	1	Yes
ath-miR2111a-5p	AT4G35920.2	4.5	4	1	Yes
ath-miR2111a-5p	AT4G35920.1	4.5	4	1	Yes
ath-miR2111a-5p	AT4G35920.3	4.5	4	1	Yes
ath-miR2111b-5p	AT4G35920.2	4.5	4	1	Yes
ath-miR2111b-5p	AT4G35920.1	4.5	4	1	Yes
ath-miR2111b-5p	AT4G35920.3	4.5	4	1	Yes
ath-miR172c	AT4G14510.1	5	4	0	Yes
ath-miR172d-3p	AT4G14510.1	5	4	0	Yes
ath-miR859	AT1G32140.1	5	4	2	Yes
ath-miR172d-3p	AT1G12850.1	5	4	1	Yes
ath-miR172c	AT1G12850.1	5	4	1	Yes
ath-miR156b-5p	AT1G27360.4	1	1	0	Yes
ath-miR156e	AT1G27360.2	1	1	0	Yes
ath-miR156a-5p	AT1G27360.2	1	1	0	Yes
ath-miR156c-5p	AT1G27360.2	1	1	0	Yes
ath-miR156a-5p	AT1G27360.1	1	1	0	Yes
ath-miR156g	AT1G27360.3	2	2	0	Yes
ath-miR156b-5p	AT1G27360.3	1	1	0	Yes
ath-miR156f-5p	AT1G27360.1	1	1	0	Yes
ath-miR156g	AT1G27360.4	2	2	0	Yes
ath-miR156f-5p	AT1G27360.2	1	1	0	Yes
ath-miR156d-5p	AT1G27360.1	1	1	0	Yes
ath-miR156c-5p	AT1G27360.4	1	1	0	Yes
ath-miR156g	AT1G27360.1	2	2	0	Yes
ath-miR156g	AT1G27360.2	2	2	0	Yes
ath-miR156d-5p	AT1G27360.4	1	1	0	Yes
ath-miR156i	AT1G27360.1	1	1	0	Yes
ath-miR156d-5p	AT1G27360.2	1	1	0	Yes
ath-miR156c-5p	AT1G27360.1	1	1	0	Yes
ath-miR156e	AT1G27360.1	1	1	0	Yes
ath-miR156d-5p	AT1G27360.3	1	1	0	Yes
ath-miR156b-5p	AT1G27360.1	1	1	0	Yes
ath-miR156f-5p	AT1G27360.3	1	1	0	Yes
ath-miR156a-5p	AT1G27360.3	1	1	0	Yes
ath-miR156e	AT1G27360.4	1	1	0	Yes
ath-miR156b-5p	AT1G27360.2	1	1	0	Yes
ath-miR156f-5p	AT1G27360.4	1	1	0	Yes
ath-miR156c-5p	AT1G27360.3	1	1	0	Yes
ath-miR156i	AT1G27360.3	1	1	0	Yes
ath-miR156i	AT1G27360.2	1	1	0	Yes
ath-miR156i	AT1G27360.4	1	1	0	Yes
ath-miR156a-5p	AT1G27360.4	1	1	0	Yes
ath-miR156e	AT1G27360.3	1	1	0	Yes
ath-miR834	AT4G00930.1	2	3	0	Yes
ath-miR835-5p	AT2G32120.1	3	3	0	No
ath-miR835-5p	AT2G32120.2	3	3	0	No
ath-miR164a	AT4G18930.1	4.5	6	0	No
ath-miR164b-5p	AT4G18930.1	4.5	6	0	No
ath-miR157b-3p	AT4G16920.1	5	5	0	No
ath-miR157b-3p	AT4G16890.1	5	5	0	No
ath-miR157b-3p	AT4G16950.1	5	5	0	No
ath-miR157a-3p	AT4G16950.2	5	5	0	No
ath-miR157a-3p	AT4G16950.1	5	5	0	No
ath-miR157a-3p	AT4G16860.1	5	5	0	No
ath-miR157b-3p	AT4G16860.1	5	5	0	No
ath-miR157b-3p	AT4G16950.2	5	5	0	No
ath-miR157a-3p	AT4G16890.1	5	5	0	No
ath-miR157a-3p	AT4G16920.1	5	5	0	No
ath-miR158a-3p	AT1G03540.1	5	4	1	Yes
ath-miR394a	AT1G27340.1	1	1	0	Yes
ath-miR394b-5p	AT1G27340.1	1	1	0	Yes
ath-miR394b-5p	AT5G51100.1	5	3	1	No
ath-miR394a	AT5G51100.1	5	3	1	No
ath-miR838	AT4G30960.1	5	6	0	No
ath-miR859	AT2G18780.1	1.5	2	1	Yes
ath-miR160a-3p	AT1G27940.1	5	5	2	No
ath-miR159b-3p	AT5G17580.1	5	5	0	No
ath-miR157d	AT1G76680.2	4	3	0	No
ath-miR157d	AT1G76690.1	4	3	0	No
ath-miR157d	AT1G76680.1	4	3	0	No
ath-miR396b-3p	AT1G58060.1	4	5	0	Yes
ath-miR164c-3p	AT4G39050.1	5	4	0	Yes
ath-miR391-3p	AT1G16920.1	4.5	5	1	Yes
ath-miR162b-3p	AT1G03080.1	4.5	4	0	No
ath-miR162a-3p	AT1G03080.1	4.5	4	0	No
ath-miR859	AT3G17560.1	4	4	0	Yes
ath-miR171a-3p	AT4G38890.1	5	5	0	No
ath-miR172d-5p	AT5G48440.2	4.5	4	1	Yes
ath-miR172d-5p	AT5G48440.1	4.5	4	1	Yes
ath-miR835-5p	AT2G23910.1	4	6	0	No
ath-miR164c-5p	AT3G62830.1	5	6	0	Yes
ath-miR164b-5p	AT3G62830.2	4.5	5	0	Yes
ath-miR164c-5p	AT3G46440.2	4.5	6	0	Yes
ath-miR164c-5p	AT2G47650.1	5	6	0	Yes
ath-miR164a	AT3G62830.2	4.5	5	0	Yes
ath-miR164b-5p	AT3G62830.1	4.5	5	0	Yes
ath-miR164c-5p	AT2G47650.2	5	6	0	Yes
ath-miR164a	AT3G62830.1	4.5	5	0	Yes
ath-miR164b-5p	AT2G47650.1	4.5	5	0	Yes
ath-miR164c-5p	AT3G62830.2	5	6	0	Yes
ath-miR164a	AT2G47650.2	4.5	5	0	Yes
ath-miR164b-5p	AT2G47650.2	4.5	5	0	Yes
ath-miR164a	AT2G47650.1	4.5	5	0	Yes
ath-miR164c-5p	AT3G46440.1	4.5	6	0	Yes
ath-miR838	AT5G54040.1	5	4	1	No
ath-miR838	AT5G54020.1	5	4	1	No
ath-miR838	AT5G54050.1	5	4	1	No
ath-miR846-3p	AT1G52070.1	3.5	3	0	Yes
ath-miR169b-5p	AT5G06510.1	4	4	0	Yes
ath-miR169g-5p	AT5G06510.2	3	3	0	No
ath-miR169c	AT5G06510.3	4	4	0	Yes
ath-miR169e	AT5G06510.3	3	3	0	No
ath-miR169d	AT5G06510.1	3	3	0	No
ath-miR169d	AT5G06510.2	3	3	0	No
ath-miR169g-5p	AT5G06510.1	3	3	0	No
ath-miR169f-5p	AT5G06510.2	3	3	0	No
ath-miR169f-5p	AT5G06510.1	3	3	0	No
ath-miR169a-5p	AT5G06510.2	5	5	0	Yes
ath-miR169d	AT5G06510.3	3	3	0	No
ath-miR169b-5p	AT5G06510.2	4	4	0	Yes
ath-miR169c	AT5G06510.2	4	4	0	Yes
ath-miR169c	AT5G06510.1	4	4	0	Yes
ath-miR169a-5p	AT5G06510.3	5	5	0	Yes
ath-miR169e	AT5G06510.2	3	3	0	No
ath-miR169b-5p	AT5G06510.3	4	4	0	Yes
ath-miR169e	AT5G06510.1	3	3	0	No
ath-miR169g-5p	AT5G06510.3	3	3	0	No
ath-miR169a-5p	AT5G06510.1	5	5	0	Yes
ath-miR169f-5p	AT5G06510.3	3	3	0	No
ath-miR838	AT3G20430.1	5	4	0	No
ath-miR857	AT3G02590.1	4	4	1	Yes
ath-miR472-3p	AT1G15890.1	4	2	1	Yes
ath-miR472-3p	AT1G12220.2	4	2	1	Yes
ath-miR472-3p	AT1G12220.1	4	2	1	Yes
ath-miR472-3p	AT1G51480.1	1	1	0	Yes
ath-miR472-3p	AT5G43730.1	3	2	0	No
ath-miR162a-3p	AT5G08185.3	5	3	1	No
ath-miR162b-3p	AT5G08185.2	5	3	1	No
ath-miR162b-3p	AT5G08185.3	5	3	1	No
ath-miR162a-3p	AT5G08185.4	5	3	1	No
ath-miR162b-3p	AT5G08185.4	5	3	1	No
ath-miR162a-3p	AT5G08185.2	5	3	1	No
ath-miR838	AT4G30910.1	5	5	0	No
ath-miR838	AT4G30920.1	5	5	0	No
ath-miR159b-5p	AT5G04170.1	4	5	0	Yes
ath-miR838	AT3G18750.1	5	5	1	Yes
ath-miR838	AT3G18750.2	5	5	1	Yes
ath-miR838	AT3G18750.3	5	5	1	Yes
ath-miR172b-3p	AT1G27720.1	5	3	1	Yes
ath-miR172a	AT1G27720.1	5	3	1	Yes
ath-miR395f	AT5G54690.1	5	6	0	Yes
ath-miR395c	AT5G54690.1	5	6	0	Yes
ath-miR395b	AT5G54690.1	5	6	0	Yes
ath-miR400	AT1G64583.1	4	3	0	No
ath-miR2112-5p	AT3G20250.1	5	6	1	No
ath-miR824-3p	AT2G20030.1	4.5	5	0	Yes
ath-miR158a-5p	AT3G47580.1	4	4	0	No
ath-miR397b	AT5G02470.3	4.5	5	0	No
ath-miR397b	AT5G02470.2	4.5	5	0	No
ath-miR397b	AT5G02470.1	4.5	5	0	No
ath-miR169f-5p	AT5G39440.1	5	4	1	Yes
ath-miR169g-5p	AT5G39440.1	5	4	1	Yes
ath-miR169d	AT5G39440.1	5	4	1	Yes
ath-miR169e	AT5G39440.1	5	4	1	Yes
ath-miR846-3p	AT1G52130.1	3	2	0	No
ath-miR172d-5p	AT5G43470.2	5	4	1	Yes
ath-miR172d-5p	AT5G43470.1	5	4	1	Yes
ath-miR172d-5p	AT1G53350.1	5	4	1	Yes
ath-miR172d-5p	AT5G48620.1	5	4	1	Yes
ath-miR158a-5p	AT3G19270.1	5	5	0	Yes
ath-miR393a-5p	AT3G60800.1	5	6	1	Yes
ath-miR393b-5p	AT3G60800.1	5	6	1	Yes
ath-miR158a-5p	AT4G26120.1	3	4	0	Yes
ath-miR161.2	AT3G56330.1	5	6	0	No
ath-miR859	AT3G20700.1	4	4	1	Yes
ath-miR161.2	AT5G65560.1	3	2	0	Yes
ath-miR396a-5p	AT2G38010.2	5	4	0	No
ath-miR396a-5p	AT2G38010.1	5	4	0	No
ath-miR396a-5p	AT5G58980.1	5	3	1	No
ath-miR159b-3p	AT1G08030.1	3.5	4	0	Yes
ath-miR159a	AT1G08030.1	4.5	5	0	Yes
ath-miR396a-3p	AT4G17500.1	4	5	1	Yes
ath-miR394b-5p	AT3G48460.1	4	4	1	Yes
ath-miR394a	AT3G48460.1	4	4	1	Yes
ath-miR156d-5p	AT4G33300.2	5	5	0	Yes
ath-miR156a-5p	AT4G33300.1	5	5	0	Yes
ath-miR156a-5p	AT4G33300.2	5	5	0	Yes
ath-miR156f-5p	AT4G33300.2	5	5	0	Yes
ath-miR156i	AT4G33300.2	5	5	0	Yes
ath-miR156c-5p	AT4G33300.2	5	5	0	Yes
ath-miR156f-5p	AT4G33300.1	5	5	0	Yes
ath-miR156d-5p	AT4G33300.1	5	5	0	Yes
ath-miR156b-5p	AT4G33300.1	5	5	0	Yes
ath-miR156i	AT4G33300.1	5	5	0	Yes
ath-miR156g	AT4G33300.1	5	5	0	Yes
ath-miR156g	AT4G33300.2	5	5	0	Yes
ath-miR156e	AT4G33300.2	5	5	0	Yes
ath-miR156e	AT4G33300.1	5	5	0	Yes
ath-miR156c-5p	AT4G33300.1	5	5	0	Yes
ath-miR156b-5p	AT4G33300.2	5	5	0	Yes
ath-miR824-5p	AT1G73430.1	5	4	1	Yes
ath-miR824-5p	AT1G73430.2	5	4	1	Yes
ath-miR156c-5p	AT3G57920.1	1	1	0	Yes
ath-miR156i	AT3G57920.1	1	1	0	Yes
ath-miR156d-5p	AT3G57920.1	1	1	0	Yes
ath-miR156f-5p	AT3G57920.1	1	1	0	Yes
ath-miR156e	AT3G57920.1	1	1	0	Yes
ath-miR156a-5p	AT3G57920.1	1	1	0	Yes
ath-miR156g	AT3G57920.1	2	2	0	Yes
ath-miR156b-5p	AT3G57920.1	1	1	0	Yes
ath-miR859	AT5G36730.1	1	2	0	Yes
ath-miR859	AT3G16820.1	1	2	0	Yes
ath-miR859	AT5G36820.1	1	2	0	Yes
ath-miR4243	AT3G13830.1	2.5	3	1	Yes
ath-miR168b-5p	AT1G48410.2	4	3	1	Yes
ath-miR168b-5p	AT1G48410.1	4	3	1	Yes
ath-miR168a-5p	AT1G48410.2	4	3	1	Yes
ath-miR168a-5p	AT1G48410.3	4	3	1	Yes
ath-miR168a-5p	AT1G48410.1	4	3	1	Yes
ath-miR168b-5p	AT1G48410.3	4	3	1	Yes
ath-miR403-3p	AT4G30825.1	4.5	5	1	No
ath-miR396b-5p	AT1G35460.1	5	6	0	Yes
ath-miR172b-5p	AT2G13680.1	4.5	5	0	No
ath-miR172e-5p	AT2G13680.1	4.5	5	0	No
ath-miR838	AT1G10180.1	4	3	1	No
ath-miR835-5p	AT3G24320.1	5	6	0	Yes
ath-miR835-5p	AT1G68780.1	4.5	3	1	Yes
ath-miR161.2	AT1G64100.2	4	4	0	No
ath-miR161.2	AT1G64100.1	4	4	0	No
ath-miR859	AT5G36200.1	0.5	1	0	Yes
ath-miR5021	AT5G17580.1	3	3	1	Yes
ath-miR167a-3p	AT1G67120.1	4	2	0	No
ath-miR403-3p	AT5G17760.1	5	4	2	Yes
ath-miR397a	AT3G60250.2	4	3	1	Yes
ath-miR397a	AT3G60250.1	4	3	1	Yes
ath-miR397b	AT3G60250.2	3	2	1	Yes
ath-miR397b	AT3G60250.1	3	2	1	Yes
ath-miR859	AT2G38590.1	5	4	1	Yes
ath-miR859	AT5G41500.1	5	4	1	Yes
ath-miR838	AT5G22640.2	4	3	1	No
ath-miR838	AT5G22640.1	4	3	1	No
ath-miR856	AT1G11200.1	3.5	4	1	Yes
ath-miR408-3p	AT2G02850.1	2	2	0	Yes
ath-miR835-5p	AT4G18770.1	5	3	1	No
ath-miR172d-5p	AT1G55490.2	5	4	0	No
ath-miR172d-5p	AT1G55490.1	5	4	0	No
ath-miR158a-5p	AT4G12320.1	5	6	1	Yes
ath-miR391-5p	AT4G29900.1	2.5	3	0	Yes
ath-miR159a	AT1G61370.1	4	5	1	Yes
ath-miR171b-5p	AT3G62390.1	5	5	0	No
ath-miR774b-5p	AT3G61340.1	4.5	6	1	Yes
ath-miR172d-5p	AT1G65920.1	5	5	0	No
ath-miR838	AT4G24020.1	5	5	0	No
ath-miR395f	AT1G16490.1	5	6	1	Yes
ath-miR395c	AT1G16490.1	5	6	1	Yes
ath-miR395b	AT1G16490.1	5	6	1	Yes
ath-miR838	AT1G30090.1	5	5	1	Yes
ath-miR157a-3p	AT1G08840.1	4	4	0	Yes
ath-miR157b-3p	AT1G08840.2	4	4	0	Yes
ath-miR157b-3p	AT1G08840.1	4	4	0	Yes
ath-miR157a-3p	AT1G08840.2	4	4	0	Yes
ath-miR824-5p	AT1G62170.1	5	5	0	Yes
ath-miR824-5p	AT1G62170.2	5	5	0	Yes
ath-miR172d-5p	AT1G14910.1	4.5	5	0	Yes
ath-miR396b-5p	AT4G32590.3	5	6	0	Yes
ath-miR396b-5p	AT4G32590.2	5	6	0	Yes
ath-miR396b-5p	AT4G32590.1	5	6	0	Yes
ath-miR396b-5p	AT4G32590.4	5	6	0	Yes
ath-miR161.2	AT4G38950.1	5	5	0	Yes
ath-miR161.2	AT4G38950.2	5	5	0	Yes
ath-miR396a-5p	AT2G36770.1	4	4	0	No
ath-miR396a-5p	AT2G36780.1	3.5	4	0	Yes
ath-miR396a-5p	AT2G36750.1	4.5	5	0	No
ath-miR396a-5p	AT2G36800.1	4	4	0	No
